,,,,Receiving,,,Routes Run,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,Rts,TPRR%,YPRR,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,YAC%,Drawn,On
Justin Jefferson,MIN,WR,16,179,124,1771,646,27.7,2.74,1789,10,1.8,1161,70.9,2.9,39.4,28.8,610,4.9,34.4,4,1
Tyreek Hill,MIA,WR,16,165,117,1687,473,34.9,3.57,2025,12.3,2.8,1186,70.9,3.6,40.8,30.9,501,4.3,29.7,5,1
Davante Adams,LV,WR,16,171,95,1443,511,33.5,2.82,1999,11.7,2.1,938,55.6,3.5,41.8,32.6,511,5.4,35.4,4,0
A.J. Brown,PHI,WR,16,135,84,1401,469,28.8,2.99,1598,11.8,1.8,855,61.8,5.1,39.9,28.7,546,6.5,39,1,2
Stefon Diggs,BUF,WR,15,144,101,1325,591,24.4,2.24,1513,10.5,2,895,71.6,5.7,34,27.3,430,4.3,32.5,3,2
Jaylen Waddle,MIA,WR,16,112,70,1312,463,24.2,2.83,1350,12.1,1.9,795,63.1,5.4,27.2,20.8,519,7.4,39.6,4,0
CeeDee Lamb,DAL,WR,16,149,102,1307,500,29.8,2.61,1486,10,1.6,829,68.9,2.7,37.5,29.2,478,4.7,36.6,2,1
DeVonta Smith,PHI,WR,16,128,88,1129,499,25.7,2.26,1285,10,1.3,705,68.8,6.3,32.1,27,447,5.1,39.6,2,0
Mike Evans,TB,WR,15,127,77,1124,520,24.4,2.16,1666,13.1,1.9,895,60.2,3.1,36.9,19.8,238,3.1,21.2,6,1
Terry McLaurin,WAS,WR,16,114,74,1117,471,24.2,2.37,1432,12.6,1.5,739,65.5,3.5,34.8,22.2,378,5.1,33.8,2,0
Amon-Ra St. Brown,DET,WR,15,137,100,1112,402,34.1,2.77,820,6,1.1,589,74.1,3,24.6,27.7,523,5.2,47,1,0
Amari Cooper,CLE,WR,16,129,76,1109,472,27.3,2.35,1557,12.1,1.8,814,59.4,7.8,38.6,26.7,295,3.9,26.6,3,2
Tee Higgins,CIN,WR,13,102,73,1022,406,25.1,2.52,1077,10.6,1.6,720,71.6,5.9,31.3,21,302,4.1,29.5,2,1
Garrett Wilson,NYJ,WR,16,130,74,1014,517,25.1,1.96,1312,10.1,1.6,631,56.5,4.6,28.7,23.4,383,5.2,37.8,4,0
Christian Kirk,JAX,WR,16,125,78,1009,540,23.1,1.87,1119,9,1.2,638,62.9,8.1,28.9,22.8,375,4.8,37.2,0,0
DK Metcalf,SEA,WR,16,133,87,1008,512,26,1.97,1457,11,1.8,784,65.4,3.8,36.9,25.4,224,2.6,22.2,2,3
Chris Olave,NO,WR,14,107,67,982,359,29.8,2.74,1520,14.2,2.8,798,62.6,2.8,40.9,25.3,184,2.7,18.7,4,0
Tyler Lockett,SEA,WR,15,110,80,979,476,23.1,2.06,1145,10.4,1.6,706,72.7,0.9,31.1,22.6,273,3.4,27.9,1,0
Chris Godwin,TB,WR,14,135,98,968,484,27.9,2,779,5.8,1,469,73.7,3,18.6,21.7,509,5.2,52.6,1,0
Ja'Marr Chase,CIN,WR,11,122,79,960,473,25.8,2.03,1105,9.1,1.6,557,65.8,6.7,38.1,29,403,5.1,42,3,1
Brandon Aiyuk,SF,WR,16,109,74,956,376,29,2.54,1032,9.5,1.1,586,68.5,4.6,31.8,22.4,370,5,38.7,4,1
JuJu Smith-Schuster,KC,WR,15,99,76,898,456,21.7,1.97,696,7,1,437,77.6,4.1,17.9,17.5,461,6.1,51.3,0,0
Michael Pittman,IND,WR,15,136,96,895,484,28.1,1.85,957,7,1,571,70.6,2.9,29.4,26.4,324,3.4,36.2,1,0
DJ Moore,CAR,WR,16,114,62,878,473,24.1,1.86,1425,12.5,1.6,685,54.4,3.5,46.5,27.4,197,3.2,22.4,1,1
Mike Williams,LAC,WR,12,88,59,863,348,25.3,2.48,1064,12.1,1.6,550,67.8,1.1,34.5,18.4,313,5.3,36.3,0,0
Diontae Johnson,PIT,WR,16,137,84,844,564,24.3,1.5,1411,10.3,1.5,631,61.3,3.6,33,26.3,213,2.5,25.2,6,2
Jerry Jeudy,DEN,WR,14,94,62,818,399,23.6,2.05,980,10.4,1.6,444,66,6.4,26.6,20.8,374,6,45.7,2,0
Cooper Kupp,LAR,WR,9,98,75,812,269,36.4,3.02,691,7.1,1.3,391,76.5,2,35.1,31.1,421,5.6,51.8,1,0
Zay Jones,JAX,WR,15,115,78,802,476,24.2,1.68,994,8.6,1.2,512,67.2,6.9,26.9,22.3,309,4,38.5,1,0
Gabe Davis,BUF,WR,14,83,45,797,547,15.2,1.46,1223,14.7,1.5,646,55.6,9.9,29.5,17,151,3.4,18.9,3,0
Donovan Peoples-Jones,CLE,WR,16,92,59,797,466,19.7,1.71,1096,11.9,1.2,636,63.4,1.1,27.1,19.4,161,2.7,20.2,3,0
Courtland Sutton,DEN,WR,14,102,61,796,444,23,1.79,1218,11.9,1.6,658,59.8,3.9,32,23,138,2.3,17.3,5,1
Jakobi Meyers,NE,WR,13,89,64,772,334,26.6,2.31,868,9.8,1.5,551,72.7,3.4,29.4,22.3,220,3.4,28.5,4,0
Allen Lazard,GB,WR,14,94,56,747,363,25.9,2.06,1135,12.1,1.5,482,59.6,3.2,32.3,21,269,4.8,36,1,0
Drake London,ATL,WR,16,109,66,746,377,28.9,1.98,1050,9.6,1.4,530,61.1,2.8,30.4,30.1,216,3.3,29,3,0
Joshua Palmer,LAC,WR,15,101,68,730,428,23.6,1.71,930,9.2,1.1,505,66.7,2,24.7,17.3,225,3.3,30.8,5,0
George Pickens,PIT,WR,16,78,49,729,506,15.4,1.44,1115,14.3,1.4,617,62,1.3,26.1,15.2,112,2.3,15.4,3,1
Darius Slayton,NYG,WR,13,71,46,724,339,20.9,2.14,842,11.9,1.3,458,64.8,7,37.1,19.4,266,5.8,36.7,3,1
DeAndre Hopkins,ARI,WR,9,96,64,717,264,36.4,2.72,945,9.8,1.8,545,68.1,2.1,42.4,28.7,172,2.7,24,1,0
Tyler Boyd,CIN,WR,15,75,53,711,458,16.4,1.55,701,9.3,1,478,71.6,1.4,18.4,13.4,233,4.4,32.8,0,0
Adam Thielen,MIN,WR,16,104,68,708,574,18.1,1.23,1022,9.8,1.1,549,64.2,0.9,22.5,17.5,159,2.3,22.5,4,0
